ID_рейса,Дата,Регион_отправления,Регион_назначения,Тип_груза,Вид_транспорта,Перевозчик,Вес_тонн,Расстояние_км,Стоимость_тенге
HYR-20252563,2025-05-11 04:10,Промзона Курык (Hyrasia HQ),Астана (Логистический хаб),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),SilkWay Heavy Haulage,48.27,1792,4615500.0
HYR-20252564,2025-08-22 23:07,Астана (Логистический хаб),ВИЭ-Кластер Абай (Мангистау),Зеленый аммиак (ЖД цистерны),Морской фрахт,Kuryk Port Logistics,47.09,2363,4052400.0
HYR-20252565,2025-12-05 05:10,ВИЭ-Кластер Рахым (Мангистау),Порт Баку (Азербайджан),Модули электролизеров (Водород),Автотранспорт (Трал),SilkWay Heavy Haulage,64.1,479,1608000.0
HYR-20252566,2025-10-09 13:33,Промзона Курык (Hyrasia HQ),Порт Баку (Азербайджан),Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,SilkWay Heavy Haulage,25.52,607,674200.0
HYR-20252567,2025-04-28 05:05,Порт Баку (Азербайджан),Жанаозен,Модули электролизеров (Водород),Автотранспорт (Трал),Caspian Sea Logistics,13.66,491,336100.0
HYR-20252568,2025-05-23 00:55,Астана (Логистический хаб),Порт Роттердам (Нидерланды),Модули электролизеров (Водород),Автотранспорт (Трал),Kuryk Port Logistics,10.51,4031,2153900.0
HYR-20252569,2025-05-05 21:18,ВИЭ-Кластер Абай (Мангистау),Порт Баку (Азербайджан),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,9.3,452,209300.0
HYR-20252570,2025-07-06 22:00,Астана (Логистический хаб),Промзона Курык (Hyrasia HQ),Солнечные панели и инверторы,Ж/Д транспорт,Svevind Global Transport,53.62,1782,6512400.0
HYR-20252571,2025-11-25 07:39,ВИЭ-Кластер Рахым (Мангистау),Порт Роттердам (Нидерланды),Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),Caspian Sea Logistics,48.11,3573,7899300.0
HYR-20252572,2025-11-03 21:04,Порт Роттердам (Нидерланды),Жанаозен,Оборудование опреснения воды,Морской фрахт,Svevind Global Transport,63.55,3909,11871900.0
HYR-20252573,2025-08-11 17:52,Порт Баку (Азербайджан),Порт Роттердам (Нидерланды),Оборудование опреснения воды,Автотранспорт (Трал),Kuryk Port Logistics,23.55,3943,4891400.0
HYR-20252574,2025-06-21 23:24,Жанаозен,Порт Роттердам (Нидерланды),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,SilkWay Heavy Haulage,53.19,3629,6407000.0
HYR-20252575,2025-05-19 17:35,Астана (Логистический хаб),ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Ж/Д транспорт,SilkWay Heavy Haulage,10.58,1883,639000.0
HYR-20252576,2025-02-13 10:31,ВИЭ-Кластер Рахым (Мангистау),Порт Баку (Азербайджан),Солнечные панели и инверторы,Ж/Д транспорт,Kuryk Port Logistics,59.23,465,912400.0
HYR-20252577,2025-04-26 11:17,Промзона Курык (Hyrasia HQ),Астана (Логистический хаб),Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Svevind Global Transport,8.11,2364,1377100.0
HYR-20252578,2025-02-26 02:51,Промзона Курык (Hyrasia HQ),Астана (Логистический хаб),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Mangystau Cargo Express,52.27,2064,4754900.0
HYR-20252579,2025-11-19 05:48,ВИЭ-Кластер Абай (Мангистау),Атырау (Нефтемаш),Модули электролизеров (Водород),Морской фрахт,SilkWay Heavy Haulage,23.44,235,189500.0
HYR-20252580,2025-09-13 17:46,Порт Баку (Азербайджан),ВИЭ-Кластер Абай (Мангистау),Спецтехника и металлоконструкции,Ж/Д транспорт,SilkWay Heavy Haulage,15.87,414,220400.0
HYR-20252581,2025-06-12 13:44,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Морской фрахт,Caspian Sea Logistics,47.27,249,484200.0
HYR-20252582,2025-05-21 12:26,Жанаозен,ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Морской фрахт,Svevind Global Transport,58.75,174,515100.0
HYR-20252583,2025-05-09 02:16,Порт Роттердам (Нидерланды),Порт Актау,Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),SilkWay Heavy Haulage,50.85,3883,9898100.0
HYR-20252584,2025-10-05 02:09,Порт Роттердам (Нидерланды),Астана (Логистический хаб),Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Svevind Global Transport,23.79,3974,4848200.0
HYR-20252585,2025-12-11 11:23,ВИЭ-Кластер Абай (Мангистау),Порт Роттердам (Нидерланды),Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),Caspian Sea Logistics,26.21,4093,5280600.0
HYR-20252586,2025-04-05 21:23,Астана (Логистический хаб),Жанаозен,Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,Svevind Global Transport,16.36,2282,1177500.0
HYR-20252587,2025-12-07 08:03,Промзона Курык (Hyrasia HQ),Астана (Логистический хаб),Зеленый аммиак (ЖД цистерны),Морской фрахт,Svevind Global Transport,54.44,2203,5757200.0
HYR-20252588,2025-03-20 20:30,ВИЭ-Кластер Рахым (Мангистау),Порт Роттердам (Нидерланды),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Caspian Sea Logistics,11.43,3976,1953000.0
HYR-20252589,2025-12-03 05:06,Атырау (Нефтемаш),Порт Баку (Азербайджан),Солнечные панели и инверторы,Ж/Д транспорт,SilkWay Heavy Haulage,59.19,696,1984000.0
HYR-20252590,2025-03-05 08:18,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Модули электролизеров (Водород),Морской фрахт,Svevind Global Transport,41.07,3881,6711600.0
HYR-20252591,2025-04-03 13:36,ВИЭ-Кластер Абай (Мангистау),Астана (Логистический хаб),Оборудование опреснения воды,Ж/Д транспорт,Mangystau Cargo Express,40.33,2143,3637600.0
HYR-20252592,2025-12-14 03:49,Астана (Логистический хаб),ВИЭ-Кластер Рахым (Мангистау),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,55.27,2383,4366600.0
HYR-20252593,2025-12-27 06:07,Порт Актау,Промзона Курык (Hyrasia HQ),Модули электролизеров (Водород),Морской фрахт,Caspian Sea Logistics,45.05,162,600300.0
HYR-20252594,2025-05-05 20:07,ВИЭ-Кластер Абай (Мангистау),Астана (Логистический хаб),Спецтехника и металлоконструкции,Автотранспорт (Трал),KazMano-Trans LLC,23.25,1988,1819500.0
HYR-20252595,2025-09-30 02:58,ВИЭ-Кластер Рахым (Мангистау),Атырау (Нефтемаш),Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),Kuryk Port Logistics,25.97,249,288100.0
HYR-20252596,2025-06-16 16:16,Атырау (Нефтемаш),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,15.38,446,241300.0
HYR-20252597,2025-01-23 12:41,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Спецтехника и металлоконструкции,Ж/Д транспорт,SilkWay Heavy Haulage,32.84,4075,8186800.0
HYR-20252598,2025-06-15 07:18,Порт Баку (Азербайджан),Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Kuryk Port Logistics,11.61,789,474200.0
HYR-20252599,2025-02-01 02:00,Порт Роттердам (Нидерланды),Порт Актау,Зеленый аммиак (ЖД цистерны),Морской фрахт,Caspian Sea Logistics,44.18,3562,5545700.0
HYR-20252600,2025-07-18 08:22,Порт Актау,Атырау (Нефтемаш),Модули электролизеров (Водород),Автотранспорт (Трал),Mangystau Cargo Express,15.15,421,224200.0
HYR-20252601,2025-08-30 13:40,Порт Актау,Жанаозен,Солнечные панели и инверторы,Ж/Д транспорт,SilkWay Heavy Haulage,56.84,448,929800.0
HYR-20252602,2025-03-10 10:18,Порт Роттердам (Нидерланды),Порт Актау,Модули электролизеров (Водород),Ж/Д транспорт,Kuryk Port Logistics,47.03,4478,9343600.0
HYR-20252603,2025-12-22 05:11,Порт Баку (Азербайджан),Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,KazMano-Trans LLC,58.49,407,1024000.0
HYR-20252604,2025-06-03 11:55,ВИЭ-Кластер Абай (Мангистау),Порт Роттердам (Нидерланды),Солнечные панели и инверторы,Морской фрахт,SilkWay Heavy Haulage,10.22,3744,1315600.0
HYR-20252605,2025-09-23 18:56,Порт Баку (Азербайджан),Астана (Логистический хаб),Солнечные панели и инверторы,Автотранспорт (Трал),KazMano-Trans LLC,52.91,564,1411500.0
HYR-20252606,2025-09-05 01:39,Промзона Курык (Hyrasia HQ),Порт Роттердам (Нидерланды),Зеленый аммиак (ЖД цистерны),Ж/Д транспорт,KazMano-Trans LLC,57.85,4485,16566700.0
HYR-20252607,2025-07-13 07:15,Порт Роттердам (Нидерланды),ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Морской фрахт,Svevind Global Transport,7.67,3592,963500.0
HYR-20252608,2025-09-13 06:10,Порт Роттердам (Нидерланды),Атырау (Нефтемаш),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Caspian Sea Logistics,64.94,4454,13543500.0
HYR-20252609,2025-07-06 02:26,Порт Баку (Азербайджан),ВИЭ-Кластер Абай (Мангистау),Спецтехника и металлоконструкции,Автотранспорт (Трал),Svevind Global Transport,23.04,683,702800.0
HYR-20252610,2025-11-13 21:31,Жанаозен,Порт Роттердам (Нидерланды),Спецтехника и металлоконструкции,Автотранспорт (Трал),KazMano-Trans LLC,17.7,4320,2922700.0
HYR-20252611,2025-09-27 08:41,Жанаозен,Атырау (Нефтемаш),Солнечные панели и инверторы,Морской фрахт,Caspian Sea Logistics,29.89,415,563700.0
HYR-20252612,2025-08-02 23:12,ВИЭ-Кластер Рахым (Мангистау),Порт Актау,Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Caspian Sea Logistics,5.52,238,46300.0
HYR-20252613,2025-04-17 07:17,Жанаозен,ВИЭ-Кластер Абай (Мангистау),Спецтехника и металлоконструкции,Автотранспорт (Трал),Caspian Sea Logistics,58.15,163,482000.0
HYR-20252614,2025-02-07 21:35,Порт Актау,ВИЭ-Кластер Рахым (Мангистау),Солнечные панели и инверторы,Морской фрахт,Mangystau Cargo Express,21.11,94,60600.0
HYR-20252615,2025-11-26 03:18,Промзона Курык (Hyrasia HQ),Жанаозен,Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,36.3,229,445800.0
HYR-20252616,2025-10-18 20:15,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Спецтехника и металлоконструкции,Морской фрахт,KazMano-Trans LLC,42.41,4154,6689100.0
HYR-20252617,2025-11-30 21:28,Порт Актау,Астана (Логистический хаб),Оборудование опреснения воды,Ж/Д транспорт,Caspian Sea Logistics,52.47,2016,5504100.0
HYR-20252618,2025-06-13 12:29,ВИЭ-Кластер Рахым (Мангистау),Жанаозен,Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),Kuryk Port Logistics,20.01,136,115600.0
HYR-20252619,2025-03-27 11:46,Атырау (Нефтемаш),Порт Актау,Оборудование опреснения воды,Ж/Д транспорт,Mangystau Cargo Express,48.03,349,839200.0
HYR-20252620,2025-11-21 21:15,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Абай (Мангистау),Модули электролизеров (Водород),Морской фрахт,Mangystau Cargo Express,12.06,236,151100.0
HYR-20252621,2025-07-28 16:06,Жанаозен,Порт Баку (Азербайджан),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,47.25,684,1239700.0
HYR-20252622,2025-01-02 13:37,Астана (Логистический хаб),Атырау (Нефтемаш),Модули электролизеров (Водород),Ж/Д транспорт,KazMano-Trans LLC,60.16,2292,7171300.0
HYR-20252623,2025-07-21 01:08,ВИЭ-Кластер Абай (Мангистау),ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Автотранспорт (Трал),Svevind Global Transport,10.1,148,104000.0
HYR-20252624,2025-03-19 13:55,Порт Роттердам (Нидерланды),Жанаозен,Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Mangystau Cargo Express,12.0,4294,1685200.0
HYR-20252625,2025-01-19 12:14,Атырау (Нефтемаш),Жанаозен,Оборудование опреснения воды,Автотранспорт (Трал),KazMano-Trans LLC,38.43,248,310700.0
HYR-20252626,2025-08-27 14:07,ВИЭ-Кластер Абай (Мангистау),Промзона Курык (Hyrasia HQ),Солнечные панели и инверторы,Автотранспорт (Трал),Mangystau Cargo Express,7.78,154,60400.0
HYR-20252627,2025-07-22 09:44,Порт Баку (Азербайджан),Жанаозен,Модули электролизеров (Водород),Ж/Д транспорт,KazMano-Trans LLC,16.24,640,433500.0
HYR-20252628,2025-12-06 12:26,Порт Баку (Азербайджан),Атырау (Нефтемаш),Оборудование опреснения воды,Морской фрахт,Caspian Sea Logistics,16.41,795,552900.0
HYR-20252629,2025-03-24 08:21,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Абай (Мангистау),Солнечные панели и инверторы,Ж/Д транспорт,Svevind Global Transport,33.87,421,745500.0
HYR-20252630,2025-03-30 20:07,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Рахым (Мангистау),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Kuryk Port Logistics,19.91,318,333000.0
HYR-20252631,2025-01-25 03:33,Промзона Курык (Hyrasia HQ),Жанаозен,Солнечные панели и инверторы,Ж/Д транспорт,Mangystau Cargo Express,33.53,345,509300.0
HYR-20252632,2025-10-20 08:03,Порт Актау,ВИЭ-Кластер Рахым (Мангистау),Оборудование опреснения воды,Ж/Д транспорт,Kuryk Port Logistics,36.27,370,528000.0
HYR-20252633,2025-08-24 02:20,Порт Актау,Жанаозен,Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,48.84,243,621700.0
HYR-20252634,2025-12-15 07:50,Порт Баку (Азербайджан),Жанаозен,Солнечные панели и инверторы,Морской фрахт,Mangystau Cargo Express,61.76,600,1871200.0
HYR-20252635,2025-09-14 19:56,Промзона Курык (Hyrasia HQ),Порт Баку (Азербайджан),Солнечные панели и инверторы,Автотранспорт (Трал),SilkWay Heavy Haulage,35.22,743,1256700.0
HYR-20252636,2025-05-30 03:24,ВИЭ-Кластер Рахым (Мангистау),Порт Роттердам (Нидерланды),Спецтехника и металлоконструкции,Морской фрахт,SilkWay Heavy Haulage,26.3,4477,3832500.0
HYR-20252637,2025-03-26 19:18,Промзона Курык (Hyrasia HQ),Порт Баку (Азербайджан),Модули электролизеров (Водород),Морской фрахт,Kuryk Port Logistics,20.52,554,714700.0
HYR-20252638,2025-08-03 22:41,Порт Роттердам (Нидерланды),ВИЭ-Кластер Рахым (Мангистау),Оборудование опреснения воды,Ж/Д транспорт,Caspian Sea Logistics,43.08,3814,7319300.0
HYR-20252639,2025-04-18 09:06,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Модули электролизеров (Водород),Автотранспорт (Трал),Mangystau Cargo Express,61.58,3764,7922300.0
HYR-20252640,2025-06-20 15:39,Астана (Логистический хаб),ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Svevind Global Transport,50.88,1988,4991400.0
HYR-20252641,2025-11-29 04:36,Порт Баку (Азербайджан),Промзона Курык (Hyrasia HQ),Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,SilkWay Heavy Haulage,17.37,469,307900.0
HYR-20252642,2025-07-13 19:07,Промзона Курык (Hyrasia HQ),Порт Роттердам (Нидерланды),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),KazMano-Trans LLC,58.6,4190,11175600.0
HYR-20252643,2025-08-04 02:15,Жанаозен,ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),KazMano-Trans LLC,49.13,207,397100.0
HYR-20252644,2025-08-08 18:40,ВИЭ-Кластер Абай (Мангистау),Порт Баку (Азербайджан),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,KazMano-Trans LLC,12.68,405,164900.0
HYR-20252645,2025-08-22 11:47,Промзона Курык (Hyrasia HQ),Атырау (Нефтемаш),Спецтехника и металлоконструкции,Автотранспорт (Трал),Caspian Sea Logistics,47.77,171,352200.0
HYR-20252646,2025-06-17 06:51,ВИЭ-Кластер Рахым (Мангистау),Промзона Курык (Hyrasia HQ),Модули электролизеров (Водород),Морской фрахт,Mangystau Cargo Express,22.36,298,251000.0
HYR-20252647,2025-04-24 22:34,Астана (Логистический хаб),Порт Роттердам (Нидерланды),Модули электролизеров (Водород),Автотранспорт (Трал),Mangystau Cargo Express,34.48,3640,3989000.0
HYR-20252648,2025-11-25 16:34,Промзона Курык (Hyrasia HQ),Порт Баку (Азербайджан),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,23.01,681,547900.0
HYR-20252649,2025-12-20 18:52,ВИЭ-Кластер Абай (Мангистау),ВИЭ-Кластер Рахым (Мангистау),Оборудование опреснения воды,Морской фрахт,SilkWay Heavy Haulage,10.04,329,150200.0
HYR-20252650,2025-07-20 13:36,ВИЭ-Кластер Абай (Мангистау),Астана (Логистический хаб),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),KazMano-Trans LLC,51.12,1904,3166700.0
HYR-20252651,2025-04-09 04:05,Порт Актау,Жанаозен,Спецтехника и металлоконструкции,Ж/Д транспорт,Caspian Sea Logistics,54.72,220,387500.0
HYR-20252652,2025-11-08 20:36,ВИЭ-Кластер Рахым (Мангистау),ВИЭ-Кластер Абай (Мангистау),Солнечные панели и инверторы,Автотранспорт (Трал),Kuryk Port Logistics,18.92,86,87200.0
HYR-20252653,2025-02-13 09:47,ВИЭ-Кластер Рахым (Мангистау),Порт Баку (Азербайджан),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Svevind Global Transport,19.38,791,658000.0
HYR-20252654,2025-02-09 16:14,Жанаозен,Промзона Курык (Hyrasia HQ),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,30.8,371,450200.0
HYR-20252655,2025-04-03 11:32,ВИЭ-Кластер Рахым (Мангистау),Порт Актау,Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),Mangystau Cargo Express,53.69,175,313200.0
HYR-20252656,2025-06-17 12:25,Астана (Логистический хаб),Порт Актау,Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Caspian Sea Logistics,9.64,2102,1083700.0
HYR-20252657,2025-05-15 01:49,Жанаозен,Атырау (Нефтемаш),Спецтехника и металлоконструкции,Ж/Д транспорт,Kuryk Port Logistics,53.52,272,611800.0
HYR-20252658,2025-05-01 20:37,Порт Актау,ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Kuryk Port Logistics,60.36,241,476800.0
HYR-20252659,2025-10-28 16:35,ВИЭ-Кластер Рахым (Мангистау),Промзона Курык (Hyrasia HQ),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,38.69,71,171700.0
HYR-20252660,2025-12-11 10:53,Порт Актау,Астана (Логистический хаб),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),Caspian Sea Logistics,8.62,1891,807200.0
HYR-20252661,2025-07-24 04:25,ВИЭ-Кластер Абай (Мангистау),Порт Актау,Спецтехника и металлоконструкции,Автотранспорт (Трал),Kuryk Port Logistics,21.17,446,496000.0
HYR-20252662,2025-12-14 06:58,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Рахым (Мангистау),Оборудование опреснения воды,Ж/Д транспорт,SilkWay Heavy Haulage,11.68,130,72300.0
HYR-20252663,2025-06-29 00:43,ВИЭ-Кластер Рахым (Мангистау),Жанаозен,Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),Kuryk Port Logistics,20.56,384,336600.0
HYR-20252664,2025-08-08 15:15,ВИЭ-Кластер Абай (Мангистау),Порт Баку (Азербайджан),Модули электролизеров (Водород),Морской фрахт,Mangystau Cargo Express,53.71,470,1104600.0
HYR-20252665,2025-01-09 21:48,Промзона Курык (Hyrasia HQ),Порт Баку (Азербайджан),Модули электролизеров (Водород),Ж/Д транспорт,SilkWay Heavy Haulage,8.34,697,230200.0
HYR-20252666,2025-12-25 21:55,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Абай (Мангистау),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Kuryk Port Logistics,22.03,74,79400.0
HYR-20252667,2025-06-05 04:21,ВИЭ-Кластер Абай (Мангистау),Порт Роттердам (Нидерланды),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,36.02,4397,8918900.0
HYR-20252668,2025-11-01 05:20,Порт Роттердам (Нидерланды),Атырау (Нефтемаш),Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,57.44,3719,16150300.0
HYR-20252669,2025-10-15 04:03,Жанаозен,Порт Роттердам (Нидерланды),Солнечные панели и инверторы,Автотранспорт (Трал),Kuryk Port Logistics,20.0,4210,2905800.0
HYR-20252670,2025-09-11 05:42,Порт Роттердам (Нидерланды),Порт Актау,Зеленый аммиак (ЖД цистерны),Ж/Д транспорт,SilkWay Heavy Haulage,51.7,4117,8711200.0
HYR-20252671,2025-07-15 15:55,Порт Баку (Азербайджан),ВИЭ-Кластер Рахым (Мангистау),Зеленый аммиак (ЖД цистерны),Морской фрахт,KazMano-Trans LLC,40.01,731,1193400.0
HYR-20252672,2025-08-23 23:44,Атырау (Нефтемаш),Жанаозен,Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),KazMano-Trans LLC,45.58,91,340600.0
HYR-20252673,2025-06-16 11:19,Промзона Курык (Hyrasia HQ),Жанаозен,Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,56.71,56,96800.0
HYR-20252674,2025-07-04 17:30,Жанаозен,Порт Актау,Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),KazMano-Trans LLC,6.58,381,126400.0
HYR-20252675,2025-11-01 03:00,Промзона Курык (Hyrasia HQ),Астана (Логистический хаб),Солнечные панели и инверторы,Автотранспорт (Трал),KazMano-Trans LLC,36.78,1708,2037100.0
HYR-20252676,2025-02-05 16:14,Астана (Логистический хаб),Порт Баку (Азербайджан),Оборудование опреснения воды,Автотранспорт (Трал),Caspian Sea Logistics,49.83,579,923500.0
HYR-20252677,2025-03-21 10:37,Порт Баку (Азербайджан),Жанаозен,Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,Svevind Global Transport,58.08,402,892000.0
HYR-20252678,2025-06-22 14:32,Порт Баку (Азербайджан),Порт Роттердам (Нидерланды),Зеленый аммиак (ЖД цистерны),Ж/Д транспорт,Kuryk Port Logistics,12.96,3777,3145600.0
HYR-20252679,2025-09-26 13:21,Астана (Логистический хаб),Порт Роттердам (Нидерланды),Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,25.49,4193,5019200.0
HYR-20252680,2025-10-21 23:32,ВИЭ-Кластер Абай (Мангистау),Астана (Логистический хаб),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Caspian Sea Logistics,9.71,1866,828000.0
HYR-20252681,2025-07-23 04:15,Жанаозен,Порт Баку (Азербайджан),Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,Kuryk Port Logistics,55.1,650,2729300.0
HYR-20252682,2025-10-13 12:04,Порт Актау,ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Автотранспорт (Трал),KazMano-Trans LLC,56.44,313,632600.0
HYR-20252683,2025-01-21 08:56,Жанаозен,Атырау (Нефтемаш),Модули электролизеров (Водород),Автотранспорт (Трал),SilkWay Heavy Haulage,34.02,120,187200.0
HYR-20252684,2025-02-08 10:30,Порт Роттердам (Нидерланды),Жанаозен,Оборудование опреснения воды,Ж/Д транспорт,Svevind Global Transport,6.25,3526,1012600.0
HYR-20252685,2025-12-21 11:50,Порт Актау,Промзона Курык (Hyrasia HQ),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Kuryk Port Logistics,11.13,157,81000.0
HYR-20252686,2025-02-12 12:40,Порт Баку (Азербайджан),Порт Роттердам (Нидерланды),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,42.46,4238,8072600.0
HYR-20252687,2025-10-05 08:11,Порт Баку (Азербайджан),ВИЭ-Кластер Абай (Мангистау),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,63.96,751,1707000.0
HYR-20252688,2025-05-06 19:56,ВИЭ-Кластер Абай (Мангистау),Атырау (Нефтемаш),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,55.33,234,684400.0
HYR-20252689,2025-08-07 18:14,Атырау (Нефтемаш),Порт Баку (Азербайджан),Солнечные панели и инверторы,Автотранспорт (Трал),Kuryk Port Logistics,52.88,540,1553400.0
HYR-20252690,2025-11-09 08:03,Жанаозен,ВИЭ-Кластер Рахым (Мангистау),Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,Caspian Sea Logistics,30.08,312,443200.0
HYR-20252691,2025-05-09 05:06,ВИЭ-Кластер Абай (Мангистау),Жанаозен,Оборудование опреснения воды,Автотранспорт (Трал),Svevind Global Transport,64.11,356,938100.0
HYR-20252692,2025-09-21 05:19,Порт Актау,Астана (Логистический хаб),Спецтехника и металлоконструкции,Морской фрахт,Caspian Sea Logistics,54.5,2101,6592900.0
HYR-20252693,2025-11-03 06:48,Астана (Логистический хаб),Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,25.14,2228,1832100.0
HYR-20252694,2025-07-09 21:32,Промзона Курык (Hyrasia HQ),Жанаозен,Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Svevind Global Transport,49.91,223,435000.0
HYR-20252695,2025-06-17 06:13,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Спецтехника и металлоконструкции,Морской фрахт,Kuryk Port Logistics,30.95,3547,5972400.0
HYR-20252696,2025-05-03 17:43,Промзона Курык (Hyrasia HQ),Порт Актау,Зеленый аммиак (ЖД цистерны),Морской фрахт,Caspian Sea Logistics,44.63,55,107300.0
HYR-20252697,2025-03-04 17:06,Жанаозен,Астана (Логистический хаб),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),SilkWay Heavy Haulage,63.2,2169,6033700.0
HYR-20252698,2025-03-06 10:09,Астана (Логистический хаб),Промзона Курык (Hyrasia HQ),Спецтехника и металлоконструкции,Морской фрахт,KazMano-Trans LLC,19.79,1982,2112200.0
HYR-20252699,2025-03-02 14:25,Порт Баку (Азербайджан),Порт Актау,Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,52.7,413,1135200.0
HYR-20252700,2025-02-06 09:48,ВИЭ-Кластер Абай (Мангистау),Атырау (Нефтемаш),Модули электролизеров (Водород),Морской фрахт,Caspian Sea Logistics,40.42,387,691700.0
HYR-20252701,2025-02-04 01:47,Порт Актау,Жанаозен,Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),Kuryk Port Logistics,62.0,406,924400.0
